PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
-717,476.945766013613,123.951086622808,-168.134142645442,-99.9956800255821,-110.536869195995,-147.627208002616,-128.113753498622,33.2064
1006,474.731444147601,111.778037280702,-171.628883323012,-94.6070478664722,102.333968965304,-147.645865449265,-167.079245017445,33.0407
567,475.28640114016,114.449430921053,-175.456826574218,-95.3458600543879,110.669872806572,-147.636319567461,-165.394532353616,33.0397
891,473.938245977284,114.782524122808,-169.200828642851,-104.875237470769,115.451354717678,-147.649363219779,-162.006611166329,33.0422
-1705,475.057703295199,114.432439692982,-180.136162990097,-85.9407758725203,119.16208837415,-147.630187250805,-161.66663009984,33.022
1100,476.960896940736,124.029804610319,-171.17941701917,-101.587759003304,-87.4037195715182,-147.61358330303,-131.714882905167,33.2156
346,469.176054444573,99.0903135964912,-172.871646419901,-285.940823007472,32.3418340609336,-147.62277138464,-116.930135547027,32.9426
1178,474.106194902973,113.613149122808,-170.929714619516,-88.3314254127982,104.175743051789,-131.595264905197,-157.939014565652,33.0315
-1614,474.462772558056,114.256108552633,-171.760976628858,-93.776415350699,115.556502366569,-147.638814902966,-161.667453607401,33.0364
515,469.109622309892,99.7408322368423,-173.125422022979,-272.565571565586,32.440102041525,-147.630937707482,-116.928943672371,32.9478
-1037,473.580723086109,114.167415570175,-171.700573577091,-87.4402236096993,117.725635636789,-147.631226255638,-157.936025476284,33.0403
1310,474.595937628083,115.307120614035,-170.457463490191,-93.7790358556187,119.127062156804,-147.631669964941,-161.666182774946,33.0334
-789,472.354324264378,112.306377192983,-174.233754299316,-90.2312020183442,103.772961488825,-131.603001160658,-157.939234279298,33.0288
-266,473.810580138747,112.13327631579,-173.356112789785,-90.915129273405,102.718709068478,-131.601819065818,-161.664597281765,33.032
-809,473.634822107419,111.931360350494,-176.905231022549,-104.021208989532,107.257571298484,-131.604242814167,-154.210349028595,33.032
1488,478.242651898741,123.921107456141,-171.325651105602,-90.7537931440796,-93.3129938545048,-136.960176717562,-131.842117976591,33.2186
-817,469.264003481882,99.9762927631585,-175.218574037781,-320.531844471653,17.759843898134,-147.621693580679,-120.645038605912,32.9285
-274,479.20416475555,123.771474780703,-170.399590868029,-84.8507277779253,-70.0397864826616,-136.996540020548,-131.841768965259,33.2373
-1751,475.720052280247,113.751210526316,-173.771623974923,-88.3936406764712,119.51322507695,-147.627246231128,-161.665068852248,33.0308
-1754,474.601304040427,115.024150219298,-168.600229370636,-90.147200401969,106.661962028802,-147.640903650579,-165.395593346175,33.0245
715,467.331020808439,100.442757675439,-171.163029828163,-211.880722291131,52.9633813996592,-147.605794285762,-114.736993946911,32.9578
-1171,478.362060525443,122.570994517545,-170.109900055947,-100.293298831935,-139.22958334338,-136.981013443472,-131.841768965259,33.2289
1160,469.212126841885,99.8629561883905,-166.953132798563,-211.46557594835,91.5566267041378,-147.625815028663,-105.743425487888,32.9715
-1657,474.951687209578,112.628547149123,-171.597275903896,-69.9707338158029,107.249385918372,-147.632496642207,-168.025567604689,33.035
-718,467.12482902985,100.41082017544,-166.141693163132,-211.479199385985,96.4747436126757,-147.603131156267,-105.743849746822,32.9647
1558,469.406470513847,99.9821271929832,-171.809027571964,-213.695776486883,94.9882672877569,-147.632712381263,-105.74482755505,32.9778
945,475.062909888791,114.15990131579,-170.732087009651,-87.8106383668866,106.949145058605,-147.632721337706,-165.513948067939,33.042
-1231,474.81336800436,114.391384868422,-175.064883916094,-83.1550065947544,124.754659498571,-147.618203219845,-155.505876669936,33.0397
-344,468.217637197148,100.258694078948,-171.468346419868,-197.910021362734,93.4508304499927,-147.620615640521,-105.744130411969,32.9754
1131,475.429260300318,123.611400219298,-168.446961706218,-88.3743001947995,-94.2889920900356,-147.635152989141,-131.081384543781,33.1997
-544,473.065329273074,112.161810307018,-173.45218911735,-93.278996437482,105.034472345684,-131.591503271483,-157.938607202004,33.035
